id,title,media_type,genres,popularity,vote_average,vote_count,year,category,x,y,z,centroid_x,centroid_y,centroid_z,dist_from_centroid
202610,Wonder,tv,,2.581,0.0,0,2014,egyptian,0.003127042780466768,0.0,0.0,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.6864749807949111
103030,I'm Cold,tv,Drama,2.6366,0.0,0,2019,egyptian,0.0032140137066805404,0.0,0.0,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.686471292764653
52716,The Family of Hajj Metwalli,tv,Drama,2.2405,7.571,7,2001,egyptian,0.002594424068671993,0.7571,0.00017689275245122814,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.08353980281310414
119768,The Tiger,tv,"Drama, Action & Adventure",2.4501,8.6,7,2021,egyptian,0.0029222856897944153,0.86,0.00017689275245122814,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.17986214170121653
271076,Safha Beida,tv,Drama,2.8456,0.0,0,2025,egyptian,0.0035409367926279942,0.0,0.0,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.6864575278660396
202722,Rivo,tv,Drama,2.2975,7.5,8,2022,egyptian,0.0026835849102940256,0.75,0.00020216314565854644,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.07746698061900219
213272,Dubai Bling,tv,Reality,2.2103,6.2,19,2022,egyptian,0.002547184464865232,0.62,0.0004801374709390478,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.07770179181603833
204949,The Foul Wind,tv,Drama,2.4061,0.0,0,1991,egyptian,0.0028534597769633726,0.0,0.0,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.6864866538865964
249679,Seyam Seyam,tv,"Drama, Comedy",2.4131,0.0,0,1980,egyptian,0.002864409354004675,0.0,0.0,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.686486184605251
102443,Broken Promises,tv,Drama,2.3829,7.0,2,2020,egyptian,0.0028171697501979133,0.7,5.054078641463661e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.044942677614321566
88928,El Wad Sayed El Shahat,tv,Comedy,2.2617,6.2,5,2019,egyptian,0.0026275856448542225,0.62,0.00012635196603659154,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.07780883797872451
106590,Paranormal,tv,"Drama, Mystery, Sci-Fi & Fantasy",2.1692,7.1,176,2020,egyptian,0.0024828948053798715,0.71,0.004447589204488022,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.046765936702071714
50158,Al Zeer Salem,tv,Drama,2.4237,8.0,4,2000,egyptian,0.00288099014209579,0.8,0.00010108157282927322,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.12238574859833072
309004,Crime of Love,tv,Drama,2.0961,0.0,0,2026,egyptian,0.002368549936562843,0.0,0.0,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.6865076111479372
132865,Shabab Al Bomb,tv,,2.638,10.0,3,2012,egyptian,0.0032162036220888006,1.0,7.581117962195492e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.3176330408093536
101698,Diaries of a General Manager,tv,"Drama, Comedy",2.3629,7.0,3,1995,egyptian,0.002785885244365621,0.7,7.581117962195492e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.044946039930753086
79650,Al Waseya,tv,Comedy,2.1065,7.9,13,2018,egyptian,0.0023848178795956355,0.79,0.000328515111695138,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.1131253918867556
129908,Tales of a Modern-Day Husband,tv,"Comedy, Family",2.3713,7.5,1,2003,egyptian,0.0027990247368151846,0.75,2.5270393207318306e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.07749252149260874
