id,media_type,title,original_title,release_date,vote_average,vote_count,popularity,overview,original_language,genres,poster_url,cast,trailer_url,scraped_at,category,popularity_normalized,rating_normalized,page_batch
1642859,movie,Iron Maiden: Burning Ambition,Iron Maiden: Burning Ambition,2026-05-07,7.333,3,10.261,"With unprecedented access to the official archives and intimate recollections from the band, both current and past,  Iron Maiden: Burning Ambition invites fans to experience one of the most iconic journeys in music history.  Spanning five decades, this electrifying documentary charts the band’s rise from the pubs of East London to the world’s biggest stadiums. Featuring exclusive interviews with band members and contributors such as Javier Bardem, Lars Ulrich and Chuck D, as well as all-new animated sequences of the band's legendary mascot, Eddie, the film offers a rare and intimate look at Iron Maiden’s uncompromising vision and unwavering connection with their truly global army of fans.",en,"Documentary, Music",https://image.tmdb.org/t/p/w500/yZqhFJDenLfgF1VygOOCNmAdS1P.jpg,"Steve Harris, Bruce Dickinson, Nicko McBrain, Adrian Smith, Dave Murray, Janick Gers, Blaze Bayley, Rod Smallwood",https://www.youtube.com/watch?v=pD_H2u79tp0,2026-05-08,new_release,0.015897041775081874,0.7333000000000001,1
1247165,movie,Raja Shivaji,राजा शिवाजी,2026-05-01,0.0,0,10.5757,"Chronicles the rise of young Shivaji Bhonsale, who challenged the might of established empires to found the Maratha kingdom and lay the groundwork for 'Swarajya' (self-rule) during a turbulent period of Indian history.",mr,"Action, History, Drama",https://image.tmdb.org/t/p/w500/9e2Wc6sbeU1YdBWLJIDyMcEWrN2.jpg,"Riteish Deshmukh, Sanjay Dutt, Abhishek Bachchan, Mahesh Manjrekar, Sachin Khedekar, Genelia D'Souza, Vidya Balan, Bhagyashree",https://www.youtube.com/watch?v=3CXt4GtjLmc,2026-05-08,new_release,0.01638892522918221,0.0,1
1102883,movie,Mother Mary,Mother Mary,2026-04-17,5.5,20,10.8422,Long-buried wounds rise to the surface when iconic pop star Mother Mary reunites with her estranged best friend and former costume designer Sam Anselm on the eve of her comeback performance.,en,"Music, Fantasy, Drama",https://image.tmdb.org/t/p/w500/qMgUI6pxkPtIuoXX4DcJ6X7bdt2.jpg,"Anne Hathaway, Michaela Coel, Hunter Schafer, FKA twigs, Sian Clifford, Kaia Gerber, Alba Baptista, Atheena Frizzell",https://www.youtube.com/watch?v=aqYHOsuje1E,2026-05-08,new_release,0.01680547095691573,0.55,1
10835,movie,The Killer,喋血雙雄,1990-09-01,7.587,892,7.7128,"Mob assassin Jeffrey is no ordinary hired gun; the best in his business, he views his chosen profession as a calling rather than simply a job. So, when beautiful nightclub chanteuse Jennie is blinded in the crossfire of his most recent hit, Jeffrey chooses to retire after one last job to pay for his unintended victim's sight-restoring operation. But when Jeffrey is double-crossed, he reluctantly joins forces with a rogue policeman to make things right.",cn,"Action, Crime, Drama, Thriller",https://image.tmdb.org/t/p/w500/8hTxlSqMAHBXAh1eB69ir0BXhzE.jpg,"Chow Yun-Fat, Danny Lee Sau-Yin, Sally Yeh, Paul Chu Kong, Kenneth Tsang, Shing Fui-On, Tommy Wong, James Ha Chim-Si",https://www.youtube.com/watch?v=bdLwJ2-zxDA,2026-05-08,new_release,0.011914145627199857,0.7586999999999999,1
1624961,movie,No Ordinary Heist,No Ordinary Heist,2026-04-24,6.15,10,6.8173,"Inspired by the true 2004 Northern Bank robbery, two feuding bank employees are forced to execute Ireland’s biggest heist after criminals kidnap their families and threaten to kill them.",en,"Crime, Thriller",https://image.tmdb.org/t/p/w500/eA2uQxSMqyljAtt920084tDrw6G.jpg,"Eddie Marsan, Éanna Hardwicke, Michelle Fairley, Eva Birthistle, Forrest Bothwell, Steven Calvert, Donal O'Hanlon, Michèle Forbes",https://www.youtube.com/watch?v=2U2a9nhXdL0,2026-05-08,new_release,0.010514458200613112,0.615,1
1542995,movie,Bonolota Express,বনলতা এক্সপ্রেস,2026-04-03,8.8,5,7.6874,"On a foggy winter journey, the Bonolota Express carries strangers burdened by secrets whose lives begin to collide within the train’s confined corridors. As the night unfolds, personal and political crises erupt, exposing hidden grief, moral decay, and moments of unexpected compassion amid chaos and revolt. By dawn, the train moves on, leaving its passengers irrevocably changed by a single journey where illusions collapse and human truths emerge.",bn,"Drama, Comedy, Family",https://image.tmdb.org/t/p/w500/wved9mxrbbae8eW0X5ydBfOWsba.jpg,"Mosharraf Karim, Chanchal Chowdhury, Sabila Nur, Sariful Razz, Zakia Bari Mamo, Shamol Mawla, Azmeri Haque Badhon, Intekhab Dinar",https://www.youtube.com/watch?v=ZTZUaHsfR8o,2026-05-08,new_release,0.011874444833637263,0.8800000000000001,1
1423251,movie,Biker,బైకర్,2026-04-03,6.0,3,7.6646,"A seasoned motocross rider returns to the grueling sport he once abandoned, confronting fierce competition and a father who might push him to the brink.",te,"Adventure, Drama",https://image.tmdb.org/t/p/w500/cKuFTk3qqrASg2nopJwDdeAroeF.jpg,"Sharwanand, Dr. Rajasekhar, Malavika Nair, Atul Kulkarni, Brahmaji, Dayanand Reddy, Shashank",,2026-05-08,new_release,0.011838807900833045,0.6,1
1461254,movie,Salmokji: Whispering Water,살목지,2026-04-17,7.0,1,7.0303,"An incident unfolds when a film crew goes to a reservoir to update the road view where an unidentified figure was filmed, and they encounter something in the dark, deep waters.",ko,"Horror, Thriller",https://image.tmdb.org/t/p/w500/bOl0rJ86WWxVYlQlGttHhHuYiPQ.jpg,"Kim Hye-yoon, Lee Jong-won, Kim Jun-han, Kim Young-sung, Oh Dong-min, Yoon Jae-chan, Jang Da-a, Lee Sung-wook",https://www.youtube.com/watch?v=VxfRnXdjLi4,2026-05-08,new_release,0.010847382178126207,0.7,1
1239134,movie,Bhooth Bangla,भूत बंगला,2026-04-16,6.5,9,6.9053,"A man inherits a palace in rural Mangalpur and plans his sister's wedding there, but strange supernatural events and panicked locals force him to investigate the property's mysterious past.",hi,"Horror, Comedy",https://image.tmdb.org/t/p/w500/79RBp8afL4u4z3nVGR78z6eIvBB.jpg,"Akshay Kumar, Wamiqa Gabbi, Paresh Rawal, Tabu, Jisshu Sengupta, Rajpal Yadav, Asrani, Mithila Palkar",,2026-05-08,new_release,0.010652004257050447,0.65,1
1300501,movie,Patriot,പേട്രിയറ്റ്,2026-05-01,8.333,3,6.6282,"When a famous Malayali YouTuber tries to expose a corrupt regional politician from Kerala and his malpractices, he is soon forced to go on the run and clear his name of all the false allegations that are levelled against him.",ml,"Thriller, Action",https://image.tmdb.org/t/p/w500/5LHrtudEt6Mh6VlfGHoYqqjVOHV.jpg,"Mammootty, Mohanlal, Fahadh Faasil, Kunchacko Boban, Nayanthara, Revathi, Zarin Shihab, Rajiv Menon",,2026-05-08,new_release,0.010218890481609701,0.8333,1
